,markethashname,color,bordercolor,pricelatest,pricelatestsell,unstable,unstablereason,offervolume,sold24h,sold7d,sold30d,sold90d,wear,itemgroup,itemtype,rarity,quality,isstattrack,isstar
9216,Sealed Graffiti | Recoil MP9 (Jungle Green),,d2d2d2,2.64,2.17,1,LOW_SALES_3PLUS_MONTHS,11.0,0,0,3,26,,,,,,0,0
9217,Sealed Graffiti | Recoil MP9 (Monster Purple),b0c3d9,d2d2d2,2.18,1.81,1,LOW_SALES_3PLUS_MONTHS,14.0,1,1,4,9,,graffiti,sealed graffiti,base grade,normal,0,0
9218,Sealed Graffiti | Recoil MP9 (Shark White),b0c3d9,d2d2d2,18.2,7.45,1,LOW_SALES_3PLUS_MONTHS,6.0,0,0,5,12,,graffiti,sealed graffiti,base grade,normal,0,0
9219,Sealed Graffiti | Recoil MP9 (SWAT Blue),b0c3d9,d2d2d2,2.1,2.05,1,LOW_SALES_3PLUS_MONTHS,9.0,0,0,0,27,,graffiti,sealed graffiti,base grade,normal,0,0
9220,Sealed Graffiti | Recoil MP9 (Tracer Yellow),,d2d2d2,2.21,2.02,1,LOW_SALES_3PLUS_MONTHS,7.0,0,1,2,18,,,,,,0,0
9221,Sealed Graffiti | Recoil MP9 (Violent Violet),b0c3d9,d2d2d2,2.5300000000000002,1.76,1,LOW_SALES_3PLUS_MONTHS,15.0,0,0,5,11,,graffiti,sealed graffiti,base grade,normal,0,0
9222,Sealed Graffiti | Recoil MP9 (Wire Blue),b0c3d9,d2d2d2,2.08,1.6600000000000001,1,LOW_SALES_3PLUS_MONTHS,11.0,0,0,2,13,,graffiti,sealed graffiti,base grade,normal,0,0
9223,Sealed Graffiti | Recoil P90 (Battle Green),,d2d2d2,5.38,3.04,1,LOW_SALES_3PLUS_MONTHS,5.0,0,0,2,7,,,,,,0,0
9224,Sealed Graffiti | Recoil P90 (Cash Green),,d2d2d2,10.82,5.53,1,LOW_SALES_3PLUS_MONTHS,6.0,0,0,1,3,,,,,,0,0
9225,Sealed Graffiti | Recoil P90 (Jungle Green),b0c3d9,d2d2d2,6.3,2.35,1,LOW_SALES_3PLUS_MONTHS,5.0,0,1,4,25,,graffiti,sealed graffiti,base grade,normal,0,0
9226,Sealed Graffiti | Recoil P90 (Monarch Blue),b0c3d9,d2d2d2,2.34,1.79,1,LOW_SALES_3PLUS_MONTHS,7.0,0,2,4,22,,graffiti,sealed graffiti,base grade,normal,0,0
