,markethashname,color,bordercolor,pricelatest,pricelatestsell,unstable,unstablereason,offervolume,sold24h,sold7d,sold30d,sold90d,wear,itemgroup,itemtype,rarity,quality,isstattrack,isstar
9301,Sealed Graffiti | Kiss (Blood Red),b0c3d9,d2d2d2,1.22,1.2,1,LOW_SALES_MONTH,97.0,5.0,24.0,95.0,407.0,,graffiti,sealed graffiti,base grade,normal,0,0
9302,Sealed Graffiti | Kiss (Brick Red),b0c3d9,d2d2d2,0.7000000000000001,0.65,1,LOW_SALES_MONTH,48.0,5.0,19.0,76.0,300.0,,graffiti,sealed graffiti,base grade,normal,0,0
9303,Sealed Graffiti | Kiss (Cash Green),b0c3d9,d2d2d2,0.26,0.25,1,LOW_SALES_WEEK,61.0,3.0,23.0,117.0,408.0,,graffiti,sealed graffiti,base grade,normal,0,0
9304,Sealed Graffiti | Kiss (Desert Amber),b0c3d9,d2d2d2,0.0,0.18,1,LOW_SALES_WEEK,,2.0,14.0,96.0,416.0,,graffiti,sealed graffiti,base grade,normal,0,0
9305,Sealed Graffiti | Kiss (Dust Brown),b0c3d9,d2d2d2,0.23,0.24,1,LOW_SALES_MONTH,64.0,0.0,9.0,72.0,340.0,,graffiti,sealed graffiti,base grade,normal,0,0
9306,Sealed Graffiti | Kiss (Frog Green),b0c3d9,d2d2d2,0.25,0.24,1,LOW_SALES_WEEK,66.0,1.0,16.0,182.0,454.0,,graffiti,sealed graffiti,base grade,normal,0,0
9307,Sealed Graffiti | Kiss (Jungle Green),b0c3d9,d2d2d2,0.24,0.21,1,LOW_SALES_MONTH,72.0,2.0,30.0,100.0,394.0,,graffiti,sealed graffiti,base grade,normal,0,0
9308,Sealed Graffiti | Kiss (Monarch Blue),b0c3d9,d2d2d2,0.23,0.19,1,LOW_SALES_MONTH,58.0,2.0,23.0,103.0,378.0,,graffiti,sealed graffiti,base grade,normal,0,0
9309,Sealed Graffiti | Kiss (Monster Purple),b0c3d9,d2d2d2,0.51,0.5,1,LOW_SALES_MONTH,60.0,2.0,24.0,104.0,393.0,,graffiti,sealed graffiti,base grade,normal,0,0
9310,Sealed Graffiti | Kiss (Princess Pink),b0c3d9,d2d2d2,0.86,0.87,1,LOW_SALES_MONTH,46.0,2.0,17.0,101.0,383.0,,graffiti,sealed graffiti,base grade,normal,0,0
9311,Sealed Graffiti | Kiss (Shark White),b0c3d9,d2d2d2,0.27,0.2,1,LOW_SALES_WEEK,134.0,4.0,32.0,174.0,1250.0,,graffiti,sealed graffiti,base grade,normal,0,0
9312,Sealed Graffiti | Kiss (SWAT Blue),b0c3d9,d2d2d2,0.34,0.23,1,LOW_SALES_MONTH,43.0,22.0,38.0,105.0,519.0,,graffiti,sealed graffiti,base grade,normal,0,0
9313,Sealed Graffiti | Kiss (Tiger Orange),b0c3d9,d2d2d2,0.26,0.26,1,LOW_SALES_MONTH,70.0,2.0,16.0,81.0,399.0,,graffiti,sealed graffiti,base grade,normal,0,0
9314,Sealed Graffiti | Kiss (Tracer Yellow),b0c3d9,d2d2d2,0.23,0.19,1,LOW_SALES_MONTH,59.0,1.0,13.0,68.0,355.0,,graffiti,sealed graffiti,base grade,normal,0,0
9315,Sealed Graffiti | Kiss (Violent Violet),b0c3d9,d2d2d2,0.42,0.43,1,LOW_SALES_WEEK,89.0,2.0,25.0,92.0,367.0,,graffiti,sealed graffiti,base grade,normal,0,0
9316,Sealed Graffiti | Kiss (War Pig Pink),b0c3d9,d2d2d2,0.42,0.44,1,LOW_SALES_MONTH,58.0,0.0,10.0,61.0,295.0,,graffiti,sealed graffiti,base grade,normal,0,0
9317,Sealed Graffiti | Kiss (Wire Blue),b0c3d9,d2d2d2,0.25,0.24,1,LOW_SALES_MONTH,126.0,3.0,23.0,85.0,370.0,,graffiti,sealed graffiti,base grade,normal,0,0
9318,Sealed Graffiti | Kisses,8847ff,d2d2d2,1.3,1.23,0,,126.0,18.0,150.0,496.0,1783.0,,graffiti,sealed graffiti,remarkable,normal,0,0
9319,Sealed Graffiti | Lambda (Battle Green),b0c3d9,d2d2d2,0.03,0.03,0,,5522.0,58.0,408.0,3061.0,12167.0,,graffiti,sealed graffiti,base grade,normal,0,0
9320,Sealed Graffiti | Lambda (Bazooka Pink),b0c3d9,d2d2d2,0.03,0.03,0,,3928.0,69.0,389.0,2570.0,9410.0,,graffiti,sealed graffiti,base grade,normal,0,0
9321,Sealed Graffiti | Lambda (Blood Red),b0c3d9,d2d2d2,0.03,0.03,0,,2739.0,53.0,501.0,2263.0,9604.0,,graffiti,sealed graffiti,base grade,normal,0,0
9322,Sealed Graffiti | Lambda (Brick Red),b0c3d9,d2d2d2,0.03,0.03,0,,3807.0,72.0,551.0,2792.0,8974.0,,graffiti,sealed graffiti,base grade,normal,0,0
9323,Sealed Graffiti | Lambda (Cash Green),b0c3d9,d2d2d2,0.03,0.03,0,,5256.0,98.0,445.0,2382.0,8927.0,,graffiti,sealed graffiti,base grade,normal,0,0
9324,Sealed Graffiti | Lambda (Desert Amber),b0c3d9,d2d2d2,0.03,0.03,0,,1295.0,449.0,894.0,3700.0,12003.0,,graffiti,sealed graffiti,base grade,normal,0,0
9325,Sealed Graffiti | Lambda (Dust Brown),b0c3d9,d2d2d2,0.03,0.03,0,,5385.0,83.0,425.0,2567.0,12158.0,,graffiti,sealed graffiti,base grade,normal,0,0
9326,Sealed Graffiti | Lambda (Frog Green),b0c3d9,d2d2d2,0.03,0.03,0,,5821.0,116.0,714.0,2534.0,9091.0,,graffiti,sealed graffiti,base grade,normal,0,0
9327,Sealed Graffiti | Lambda (Jungle Green),b0c3d9,d2d2d2,0.03,0.03,0,,4822.0,89.0,508.0,1846.0,11779.0,,graffiti,sealed graffiti,base grade,normal,0,0
9328,Sealed Graffiti | Lambda (Monarch Blue),b0c3d9,d2d2d2,0.03,0.03,0,,4044.0,61.0,445.0,2365.0,9086.0,,graffiti,sealed graffiti,base grade,normal,0,0
9329,Sealed Graffiti | Lambda (Monster Purple),b0c3d9,d2d2d2,0.03,0.03,0,,3222.0,97.0,536.0,2563.0,10753.0,,graffiti,sealed graffiti,base grade,normal,0,0
9330,Sealed Graffiti | Lambda (Princess Pink),b0c3d9,d2d2d2,0.03,0.03,0,,4352.0,173.0,699.0,2462.0,9503.0,,graffiti,sealed graffiti,base grade,normal,0,0
9331,Sealed Graffiti | Lambda (Shark White),b0c3d9,d2d2d2,0.03,0.03,0,,3611.0,85.0,430.0,2255.0,10003.0,,graffiti,sealed graffiti,base grade,normal,0,0
9332,Sealed Graffiti | Lambda (SWAT Blue),b0c3d9,d2d2d2,0.03,0.03,0,,3277.0,52.0,533.0,2534.0,10378.0,,graffiti,sealed graffiti,base grade,normal,0,0
9333,Sealed Graffiti | Lambda (Tiger Orange),b0c3d9,d2d2d2,0.04,0.03,0,,856.0,129.0,718.0,3495.0,14065.0,,graffiti,sealed graffiti,base grade,normal,0,0
9334,Sealed Graffiti | Lambda (Tracer Yellow),b0c3d9,d2d2d2,0.03,0.03,0,,4721.0,78.0,667.0,2297.0,9957.0,,graffiti,sealed graffiti,base grade,normal,0,0
9335,Sealed Graffiti | Lambda (Violent Violet),b0c3d9,d2d2d2,0.03,0.03,0,,4144.0,52.0,506.0,2710.0,7969.0,,graffiti,sealed graffiti,base grade,normal,0,0
9336,Sealed Graffiti | Lambda (War Pig Pink),b0c3d9,d2d2d2,0.03,0.03,0,,5485.0,77.0,453.0,2231.0,10282.0,,graffiti,sealed graffiti,base grade,normal,0,0
9337,Sealed Graffiti | Lambda (Wire Blue),b0c3d9,d2d2d2,0.03,0.03,0,,4859.0,95.0,490.0,2086.0,9679.0,,graffiti,sealed graffiti,base grade,normal,0,0
9338,Sealed Graffiti | Lightbulb (Shark White),b0c3d9,d2d2d2,0.08,0.07,0,,1041.0,51.0,417.0,1609.0,7601.0,,graffiti,sealed graffiti,base grade,normal,0,0
9339,Sealed Graffiti | Lightbulb (Tracer Yellow),b0c3d9,d2d2d2,0.08,0.08,0,,1371.0,86.0,384.0,2524.0,9142.0,,graffiti,sealed graffiti,base grade,normal,0,0
9340,Sealed Graffiti | Little Bock (Battle Green),b0c3d9,d2d2d2,0.14,0.14,1,LOW_SALES_MONTH,47.0,3.0,21.0,97.0,402.0,,graffiti,sealed graffiti,base grade,normal,0,0
9341,Sealed Graffiti | Little Bock (Bazooka Pink),b0c3d9,d2d2d2,0.24,0.25,1,LOW_SALES_MONTH,58.0,5.0,24.0,100.0,378.0,,graffiti,sealed graffiti,base grade,normal,0,0
9342,Sealed Graffiti | Little Bock (Blood Red),b0c3d9,d2d2d2,0.17,0.16,1,LOW_SALES_MONTH,94.0,8.0,18.0,80.0,349.0,,graffiti,sealed graffiti,base grade,normal,0,0
9343,Sealed Graffiti | Little Bock (Brick Red),b0c3d9,d2d2d2,0.13,0.13,1,LOW_SALES_WEEK,67.0,5.0,33.0,114.0,417.0,,graffiti,sealed graffiti,base grade,normal,0,0
9344,Sealed Graffiti | Little Bock (Cash Green),b0c3d9,d2d2d2,0.13,0.1,1,LOW_SALES_MONTH,102.0,3.0,21.0,102.0,403.0,,graffiti,sealed graffiti,base grade,normal,0,0
9345,Sealed Graffiti | Little Bock (Desert Amber),b0c3d9,d2d2d2,0.14,0.13,1,LOW_SALES_MONTH,75.0,2.0,12.0,113.0,386.0,,graffiti,sealed graffiti,base grade,normal,0,0
9346,Sealed Graffiti | Little Bock (Dust Brown),b0c3d9,d2d2d2,0.14,0.1,1,LOW_SALES_MONTH,56.0,3.0,13.0,107.0,450.0,,graffiti,sealed graffiti,base grade,normal,0,0
9347,Sealed Graffiti | Little Bock (Frog Green),b0c3d9,d2d2d2,0.12,0.06,1,LOW_SALES_MONTH,75.0,2.0,17.0,94.0,370.0,,graffiti,sealed graffiti,base grade,normal,0,0
9348,Sealed Graffiti | Little Bock (Jungle Green),b0c3d9,d2d2d2,0.12,0.1,1,LOW_SALES_MONTH,63.0,2.0,14.0,101.0,390.0,,graffiti,sealed graffiti,base grade,normal,0,0
9349,Sealed Graffiti | Little Bock (Monarch Blue),b0c3d9,d2d2d2,0.15,0.15,1,LOW_SALES_MONTH,41.0,3.0,16.0,105.0,387.0,,graffiti,sealed graffiti,base grade,normal,0,0
9350,Sealed Graffiti | Little Bock (Monster Purple),b0c3d9,d2d2d2,0.25,0.23,1,LOW_SALES_WEEK,60.0,2.0,30.0,124.0,459.0,,graffiti,sealed graffiti,base grade,normal,0,0
9351,Sealed Graffiti | Little Bock (Princess Pink),b0c3d9,d2d2d2,0.14,0.11,1,LOW_SALES_WEEK,44.0,3.0,31.0,111.0,380.0,,graffiti,sealed graffiti,base grade,normal,0,0
9352,Sealed Graffiti | Little Bock (Shark White),b0c3d9,d2d2d2,0.2,0.15,1,LOW_SALES_MONTH,74.0,7.0,27.0,115.0,425.0,,graffiti,sealed graffiti,base grade,normal,0,0
9353,Sealed Graffiti | Little Bock (SWAT Blue),b0c3d9,d2d2d2,0.12,0.09,1,LOW_SALES_MONTH,64.0,3.0,42.0,109.0,402.0,,graffiti,sealed graffiti,base grade,normal,0,0
9354,Sealed Graffiti | Little Bock (Tiger Orange),b0c3d9,d2d2d2,0.14,0.1,1,LOW_SALES_MONTH,65.0,4.0,15.0,81.0,394.0,,graffiti,sealed graffiti,base grade,normal,0,0
9355,Sealed Graffiti | Little Bock (Tracer Yellow),b0c3d9,d2d2d2,0.24,0.22,1,LOW_SALES_MONTH,104.0,3.0,11.0,58.0,360.0,,graffiti,sealed graffiti,base grade,normal,0,0
9356,Sealed Graffiti | Little Bock (Violent Violet),b0c3d9,d2d2d2,0.2,0.16,1,LOW_SALES_WEEK,42.0,3.0,10.0,68.0,368.0,,graffiti,sealed graffiti,base grade,normal,0,0
9357,Sealed Graffiti | Little Bock (War Pig Pink),b0c3d9,d2d2d2,0.14,0.16,1,LOW_SALES_MONTH,44.0,2.0,15.0,69.0,304.0,,graffiti,sealed graffiti,base grade,normal,0,0
