,markethashname,color,bordercolor,pricelatest,pricelatestsell,unstable,unstablereason,offervolume,sold24h,sold7d,sold30d,sold90d,wear,itemgroup,itemtype,rarity,quality,isstattrack,isstar
3082,★ StatTrak™ Stiletto Knife | Damascus Steel (Battle-Scarred),,8650ac,291.5,300.0,1,NO_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,0.0,bs,,,,,1,1
3083,★ StatTrak™ Stiletto Knife | Damascus Steel (Factory New),eb4b4b,8650ac,517.57,333.59,1,LOW_SALES_3PLUS_MONTHS,1.0,0.0,0.0,2.0,10.0,fn,knife,stiletto knife,covert,unusual,1,1
3084,★ StatTrak™ Stiletto Knife | Damascus Steel (Field-Tested),eb4b4b,8650ac,399.0,367.88,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,4.0,16.0,29.0,ft,knife,stiletto knife,covert,unusual,1,1
3085,★ StatTrak™ Stiletto Knife | Damascus Steel (Minimal Wear),eb4b4b,8650ac,424.13,410.7,1,LOW_SALES_3PLUS_MONTHS,3.0,0.0,0.0,1.0,6.0,mw,knife,stiletto knife,covert,unusual,1,1
3086,★ StatTrak™ Stiletto Knife | Damascus Steel (Well-Worn),eb4b4b,8650ac,229.35,240.0,1,LOW_SALES_3PLUS_MONTHS,,1.0,1.0,3.0,6.0,ww,knife,stiletto knife,covert,unusual,1,1
3087,★ StatTrak™ Stiletto Knife | Doppler (Factory New),eb4b4b,8650ac,870.98,866.99,1,LOW_SALES_3PLUS_MONTHS,4.0,1.0,2.0,11.0,35.0,fn,knife,stiletto knife,covert,unusual,1,1
3088,★ StatTrak™ Stiletto Knife | Doppler (Minimal Wear),eb4b4b,8650ac,622.0,618.53,1,LOW_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,2.0,mw,knife,stiletto knife,covert,unusual,1,1
3089,★ StatTrak™ Stiletto Knife | Fade (Factory New),eb4b4b,8650ac,1101.47,1092.5,1,LOW_SALES_3PLUS_MONTHS,8.0,0.0,0.0,4.0,12.0,fn,knife,stiletto knife,covert,unusual,1,1
3090,★ StatTrak™ Stiletto Knife | Fade (Minimal Wear),,8650ac,576.15,825.7,1,NO_SALES_3PLUS_MONTHS,,0.0,1.0,2.0,2.0,mw,,,,,1,1
3091,★ StatTrak™ Stiletto Knife | Forest DDPAT (Battle-Scarred),eb4b4b,8650ac,248.86,200.0,1,LOW_SALES_3PLUS_MONTHS,3.0,0.0,0.0,0.0,4.0,bs,knife,stiletto knife,covert,unusual,1,1
3092,★ StatTrak™ Stiletto Knife | Forest DDPAT (Factory New),eb4b4b,8650ac,234.16,455.11,1,NO_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,0.0,fn,knife,stiletto knife,covert,unusual,1,1
3093,★ StatTrak™ Stiletto Knife | Forest DDPAT (Field-Tested),eb4b4b,8650ac,216.89,187.34,1,LOW_SALES_3PLUS_MONTHS,4.0,1.0,2.0,13.0,36.0,ft,knife,stiletto knife,covert,unusual,1,1
3094,★ StatTrak™ Stiletto Knife | Forest DDPAT (Minimal Wear),eb4b4b,8650ac,385.8,253.04,1,LOW_SALES_3PLUS_MONTHS,1.0,0.0,0.0,1.0,4.0,mw,knife,stiletto knife,covert,unusual,1,1
3095,★ StatTrak™ Stiletto Knife | Forest DDPAT (Well-Worn),eb4b4b,8650ac,145.76,189.75,1,LOW_SALES_3PLUS_MONTHS,,0.0,1.0,3.0,9.0,ww,knife,stiletto knife,covert,unusual,1,1
3096,★ StatTrak™ Stiletto Knife | Marble Fade (Factory New),eb4b4b,8650ac,687.07,555.63,1,LOW_SALES_3PLUS_MONTHS,5.0,1.0,1.0,6.0,28.0,fn,knife,stiletto knife,covert,unusual,1,1
3097,★ StatTrak™ Stiletto Knife | Marble Fade (Minimal Wear),eb4b4b,8650ac,450.11,596.85,1,LOW_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,2.0,mw,knife,stiletto knife,covert,unusual,1,1
3098,★ StatTrak™ Stiletto Knife | Night Stripe (Battle-Scarred),eb4b4b,8650ac,275.0,182.59,1,LOW_SALES_3PLUS_MONTHS,1.0,0.0,2.0,4.0,6.0,bs,knife,stiletto knife,covert,unusual,1,1
3099,★ StatTrak™ Stiletto Knife | Night Stripe (Factory New),eb4b4b,8650ac,254.17,271.83,1,NO_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,0.0,fn,knife,stiletto knife,covert,unusual,1,1
3100,★ StatTrak™ Stiletto Knife | Night Stripe (Field-Tested),eb4b4b,8650ac,267.65,238.99,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,0.0,9.0,24.0,ft,knife,stiletto knife,covert,unusual,1,1
